order_id,order_date,customer_id,segment,region,category,product,quantity,unit_price,discount,shipping_cost,revenue,cost,profit
ORD-000022,2024-06-09,CUST-01850,Corporate,Northeast,Beauty,Body Lotion,3,49.71,0.133,5.25,129.23,89.87,34.11
ORD-000023,2024-06-22,CUST-01362,Consumer,South,Electronics,Bluetooth Speaker,1,258.82,0.053,6.7,245.08,189.2,49.18
ORD-000024,2025-05-01,CUST-00918,Consumer,Midwest,Office Supplies,Desk Organizer,1,13.82,0.033,16.54,13.37,9.4,-12.57
ORD-000025,2024-09-24,CUST-01681,Corporate,West,Sports,Fitness Tracker,1,177.49,0.098,15.07,160.01,127.34,17.6
ORD-000026,2025-02-20,CUST-02946,Consumer,South,Home & Kitchen,Desk Lamp,1,95.83,0.131,3.66,83.32,62.33,17.33
ORD-000027,2024-09-02,CUST-02609,Corporate,West,Sports,Sports Bag,3,81.84,0.054,18.69,232.28,177.43,36.16
ORD-000028,2025-01-16,CUST-00797,Consumer,West,Office Supplies,Printer Paper,2,33.42,0.088,4.34,60.92,41.24,15.34
ORD-000029,2024-10-15,CUST-01105,Consumer,West,Electronics,Wireless Headphones,1,134.55,0.0,19.41,134.55,79.94,35.2
ORD-000030,2024-06-01,CUST-02409,Consumer,West,Office Supplies,Notebook,2,41.56,0.149,7.06,70.75,65.38,-1.69
ORD-000031,2025-04-24,CUST-00392,Consumer,Northeast,Beauty,Face Serum,1,34.81,0.049,14.57,33.12,20.44,-1.89
ORD-000032,2025-01-22,CUST-02894,Corporate,South,Electronics,Smart Watch,2,183.83,0.138,16.96,316.92,247.89,52.07
ORD-000033,2025-02-24,CUST-01237,Consumer,West,Home & Kitchen,Water Bottle,2,29.3,0.121,8.81,51.51,39.79,2.91
ORD-000034,2025-06-02,CUST-01499,Consumer,West,Beauty,Body Lotion,2,43.02,0.128,11.3,75.06,59.6,4.16
ORD-000035,2024-05-16,CUST-02916,Consumer,Northeast,Electronics,Wireless Headphones,3,193.4,0.084,15.13,531.2,467.43,48.64
ORD-000036,2024-02-20,CUST-00598,Corporate,Midwest,Home & Kitchen,Water Bottle,2,143.4,0.199,20.87,229.81,192.85,16.09
ORD-000037,2024-11-14,CUST-00498,Corporate,West,Beauty,Makeup Kit,1,81.34,0.061,16.74,76.38,59.55,0.09
ORD-000038,2024-06-27,CUST-02672,Consumer,Northeast,Beauty,Hair Dryer,1,22.99,0.2,9.9,18.4,15.95,-7.45
ORD-000039,2024-08-26,CUST-02171,Consumer,South,Office Supplies,Printer Paper,3,44.13,0.115,11.3,117.13,97.53,8.3
ORD-000040,2024-05-08,CUST-01208,Consumer,South,Sports,Yoga Mat,1,105.74,0.107,16.01,94.38,86.08,-7.71
ORD-000041,2024-08-05,CUST-00319,Consumer,South,Sports,Running Shoes,1,100.22,0.086,14.62,91.58,80.05,-3.09
ORD-000042,2024-08-03,CUST-01633,Corporate,Midwest,Office Supplies,Notebook,2,11.76,0.107,24.33,21.02,18.84,-22.15
ORD-000043,2024-07-10,CUST-02293,Corporate,Northeast,Electronics,Wireless Headphones,1,277.62,0.101,15.08,249.69,214.35,20.26
ORD-000044,2025-02-10,CUST-00148,Consumer,West,Beauty,Makeup Kit,1,29.21,0.205,9.62,23.24,21.41,-7.79
ORD-000045,2024-11-20,CUST-00650,Consumer,Northeast,Home & Kitchen,Storage Set,3,61.06,0.027,24.17,178.22,133.54,20.51
ORD-000046,2024-09-16,CUST-01045,Consumer,West,Sports,Running Shoes,1,183.0,0.088,24.85,166.83,132.01,9.97
ORD-000047,2024-03-02,CUST-00844,Consumer,Northeast,Office Supplies,Printer Paper,2,8.73,0.043,8.92,16.7,11.0,-3.22
ORD-000048,2024-11-08,CUST-01668,Consumer,West,Home & Kitchen,Storage Set,1,143.64,0.065,17.4,134.24,110.97,5.87
ORD-000049,2024-04-05,CUST-02959,Consumer,South,Office Supplies,Printer Paper,2,30.33,0.101,3.04,54.53,45.26,6.23
ORD-000050,2024-06-20,CUST-02079,Consumer,Midwest,Office Supplies,Notebook,3,23.5,0.19,24.08,57.08,52.28,-19.28
ORD-000051,2024-08-14,CUST-01545,Consumer,Northeast,Sports,Running Shoes,1,118.41,0.129,22.65,103.14,88.55,-8.06
ORD-000052,2024-03-18,CUST-02854,Consumer,Midwest,Electronics,Wireless Headphones,3,145.26,0.043,9.1,417.21,327.23,80.88
ORD-000053,2024-08-01,CUST-02454,Corporate,South,Sports,Fitness Tracker,2,187.83,0.082,3.68,344.7,232.55,108.47
ORD-000054,2024-05-26,CUST-01751,Corporate,Northeast,Electronics,USB-C Hub,3,53.59,0.169,6.84,133.57,127.69,-0.96
ORD-000055,2025-04-09,CUST-00157,Consumer,Midwest,Beauty,Makeup Kit,1,83.78,0.065,22.71,78.34,52.58,3.05
ORD-000056,2025-04-15,CUST-00815,Consumer,Northeast,Sports,Running Shoes,2,180.18,0.108,15.12,321.41,263.78,42.51
ORD-000057,2024-01-03,CUST-02776,Consumer,West,Home & Kitchen,Water Bottle,5,50.41,0.125,13.58,220.67,176.43,30.66
ORD-000058,2024-11-25,CUST-01672,Corporate,Midwest,Electronics,Smart Watch,2,354.97,0.087,19.57,648.29,448.44,180.28
ORD-000059,2024-12-16,CUST-02777,Corporate,Northeast,Beauty,Makeup Kit,4,59.62,0.045,14.78,227.68,190.43,22.47
ORD-000060,2024-07-25,CUST-00213,Consumer,West,Sports,Resistance Bands,1,217.75,0.115,20.3,192.69,146.79,25.6
ORD-000061,2024-09-13,CUST-00541,Small Business,Northeast,Home & Kitchen,Air Fryer,2,77.17,0.238,21.04,117.57,119.86,-23.33
ORD-000062,2025-03-08,CUST-00445,Consumer,West,Office Supplies,Printer Paper,2,25.93,0.072,8.66,48.12,35.08,4.38
ORD-000063,2024-07-25,CUST-00293,Small Business,South,Beauty,Face Serum,1,108.22,0.068,14.67,100.88,86.85,-0.64
ORD-000064,2024-02-05,CUST-01056,Corporate,Midwest,Electronics,Wireless Headphones,2,308.75,0.144,13.14,528.28,362.51,152.63
ORD-000065,2024-07-22,CUST-02999,Small Business,West,Office Supplies,Printer Paper,1,55.17,0.243,17.9,41.76,43.86,-20.0
ORD-000066,2024-05-18,CUST-00067,Consumer,Northeast,Home & Kitchen,Air Fryer,4,83.61,0.049,12.04,318.06,268.99,37.03
ORD-000067,2024-07-28,CUST-02802,Consumer,Midwest,Electronics,Smart Watch,3,239.3,0.029,11.58,697.02,562.12,123.32
ORD-000068,2024-05-05,CUST-00226,Small Business,Northeast,Sports,Fitness Tracker,3,216.37,0.148,22.58,553.18,465.54,65.06
ORD-000069,2024-03-22,CUST-00048,Consumer,Midwest,Home & Kitchen,Air Fryer,2,104.15,0.149,20.7,177.22,170.15,-13.63
ORD-000070,2025-06-22,CUST-00023,Small Business,Northeast,Sports,Resistance Bands,3,168.06,0.041,24.17,483.3,332.16,126.97
ORD-000071,2024-03-11,CUST-02318,Corporate,Northeast,Office Supplies,Notebook,1,68.66,0.082,5.53,63.02,51.17,6.32
ORD-000072,2025-01-21,CUST-00546,Consumer,Northeast,Office Supplies,Printer Paper,2,52.23,0.031,12.71,101.26,74.84,13.71
ORD-000073,2025-01-27,CUST-00331,Corporate,Midwest,Home & Kitchen,Desk Lamp,1,132.92,0.078,20.97,122.55,82.49,19.09
ORD-000074,2024-12-03,CUST-02477,Consumer,West,Home & Kitchen,Storage Set,2,34.08,0.083,19.56,62.52,49.1,-6.14
ORD-000075,2025-05-13,CUST-01923,Consumer,West,Beauty,Hair Dryer,1,33.29,0.157,12.74,28.06,22.47,-7.15
ORD-000076,2024-01-03,CUST-01055,Consumer,Midwest,Beauty,Hair Dryer,3,96.02,0.173,11.96,238.09,176.49,49.64
ORD-000077,2024-06-13,CUST-02300,Corporate,West,Beauty,Makeup Kit,1,118.1,0.094,17.35,106.97,77.11,12.51
ORD-000078,2024-04-10,CUST-02708,Consumer,West,Home & Kitchen,Storage Set,5,86.57,0.19,19.03,350.54,251.36,80.15
ORD-000079,2024-11-11,CUST-01607,Small Business,Midwest,Home & Kitchen,Storage Set,3,140.65,0.158,20.41,355.46,344.29,-9.24
ORD-000080,2024-12-13,CUST-02655,Consumer,Northeast,Electronics,USB-C Hub,2,39.61,0.021,6.56,77.57,46.35,24.66
ORD-000081,2025-05-06,CUST-01035,Consumer,Midwest,Beauty,Body Lotion,1,23.65,0.168,12.8,19.68,16.32,-9.44
ORD-000082,2024-07-26,CUST-02591,Corporate,Northeast,Home & Kitchen,Coffee Maker,2,27.99,0.149,16.84,47.66,32.87,-2.05
ORD-000083,2024-05-09,CUST-01927,Consumer,West,Office Supplies,Stapler,2,11.9,0.215,20.04,18.67,16.29,-17.66
ORD-000084,2025-05-20,CUST-00636,Consumer,South,Office Supplies,Stapler,1,8.75,0.116,4.41,7.74,6.51,-3.18
ORD-000085,2025-01-03,CUST-01885,Consumer,Northeast,Home & Kitchen,Water Bottle,2,19.09,0.206,17.46,30.3,27.53,-14.69
ORD-000086,2025-02-22,CUST-01028,Consumer,West,Beauty,Hair Dryer,3,83.77,0.0,5.41,251.32,177.39,68.52
ORD-000087,2024-08-31,CUST-00211,Corporate,Northeast,Office Supplies,Stapler,1,33.59,0.073,11.45,31.12,20.55,-0.88
ORD-000088,2024-09-01,CUST-01405,Consumer,West,Sports,Yoga Mat,1,126.14,0.0,8.03,126.14,87.99,30.12
ORD-000089,2024-07-31,CUST-00188,Consumer,West,Electronics,Bluetooth Speaker,3,176.41,0.082,5.01,486.09,329.38,151.7
ORD-000090,2025-02-13,CUST-01295,Consumer,Midwest,Office Supplies,Notebook,1,31.07,0.11,6.6,27.65,21.95,-0.9
ORD-000091,2024-04-25,CUST-02688,Corporate,Midwest,Electronics,Laptop Stand,3,101.29,0.098,16.14,273.95,199.28,58.53
ORD-000092,2025-06-17,CUST-00240,Consumer,Northeast,Beauty,Makeup Kit,2,80.65,0.156,14.19,136.16,111.81,10.16
ORD-000093,2024-04-06,CUST-02032,Consumer,South,Office Supplies,Desk Organizer,1,13.67,0.249,22.57,10.27,8.5,-20.8
ORD-000094,2024-09-09,CUST-00717,Consumer,West,Home & Kitchen,Storage Set,5,160.4,0.078,8.02,739.05,518.67,212.36
ORD-000095,2024-06-21,CUST-01786,Small Business,Northeast,Beauty,Hair Dryer,1,41.07,0.176,4.7,33.83,29.68,-0.55
ORD-000096,2024-12-17,CUST-01861,Corporate,South,Home & Kitchen,Desk Lamp,1,58.07,0.143,12.0,49.79,36.93,0.86
ORD-000097,2025-01-07,CUST-02278,Consumer,South,Electronics,USB-C Hub,1,116.75,0.122,19.77,102.46,81.91,0.78
ORD-000098,2025-05-17,CUST-02030,Corporate,Midwest,Office Supplies,Notebook,5,11.98,0.151,5.29,50.83,47.74,-2.2
ORD-000099,2025-03-07,CUST-00750,Small Business,Midwest,Electronics,Smart Watch,1,139.12,0.08,3.19,128.05,80.71,44.15
ORD-000100,2024-05-16,CUST-01094,Consumer,Northeast,Sports,Fitness Tracker,1,219.52,0.163,19.18,183.65,164.8,-0.33
ORD-000101,2024-04-23,CUST-01720,Corporate,Northeast,Beauty,Hair Dryer,1,12.66,0.013,4.74,12.49,9.19,-1.44
ORD-000102,2025-04-29,CUST-00891,Consumer,West,Beauty,Skincare Set,2,64.23,0.11,11.12,114.39,104.08,-0.81
ORD-000103,2024-09-23,CUST-02534,Consumer,Northeast,Sports,Yoga Mat,1,87.65,0.082,10.61,80.5,71.43,-1.54
ORD-000104,2024-02-23,CUST-01759,Small Business,South,Beauty,Hair Dryer,1,95.61,0.249,3.07,71.77,74.16,-5.46
ORD-000105,2025-03-27,CUST-02053,Consumer,Northeast,Home & Kitchen,Water Bottle,2,116.52,0.035,24.65,224.79,182.95,17.19
ORD-000106,2024-12-20,CUST-01991,Consumer,West,Electronics,Laptop Stand,2,47.42,0.13,16.68,82.54,68.34,-2.48
ORD-000107,2024-01-14,CUST-01062,Corporate,Northeast,Home & Kitchen,Coffee Maker,2,28.25,0.176,8.41,46.56,38.33,-0.18
ORD-000108,2025-03-04,CUST-02133,Small Business,South,Sports,Yoga Mat,2,149.9,0.066,11.34,279.89,224.63,43.92
ORD-000109,2024-11-28,CUST-01944,Consumer,Midwest,Sports,Fitness Tracker,2,156.47,0.102,17.63,280.92,193.75,69.54
ORD-000110,2024-12-02,CUST-02433,Corporate,Northeast,Beauty,Hair Dryer,3,80.13,0.07,20.29,223.65,179.36,24.0
ORD-000111,2025-04-18,CUST-01018,Small Business,West,Electronics,Smart Watch,2,306.92,0.074,11.88,568.41,442.1,114.43
ORD-000112,2024-09-28,CUST-01752,Consumer,West,Electronics,Bluetooth Speaker,2,381.71,0.201,15.27,609.69,476.25,118.17
ORD-000113,2024-09-09,CUST-02691,Small Business,Midwest,Sports,Resistance Bands,1,93.44,0.0,10.44,93.44,61.49,21.51
ORD-000114,2024-12-03,CUST-01137,Consumer,South,Electronics,Laptop Stand,4,167.21,0.117,3.39,590.79,419.08,168.32
ORD-000115,2024-04-18,,Consumer,Northeast,Office Supplies,Printer Paper,3,58.35,0.0,8.31,175.05,107.97,58.77
ORD-000116,2024-03-23,CUST-01044,Corporate,Midwest,Home & Kitchen,Desk Lamp,2,70.02,0.157,14.45,118.02,94.44,9.13
ORD-000117,2025-04-06,CUST-00390,Small Business,Northeast,Home & Kitchen,Storage Set,1,173.21,0.077,9.39,159.85,138.59,11.87
ORD-000118,2024-04-27,CUST-00104,Small Business,Midwest,Beauty,Skincare Set,1,89.27,0.0,5.3,89.27,55.92,28.05
ORD-000119,2024-10-02,CUST-01477,Consumer,Northeast,Sports,Fitness Tracker,5,158.94,0.091,22.73,722.09,480.86,218.5
ORD-000120,2024-05-27,CUST-01250,Small Business,Midwest,Beauty,Skincare Set,1,109.81,0.028,18.63,106.76,89.1,-0.97
ORD-000121,2024-05-06,CUST-00757,Consumer,South,Office Supplies,Stapler,2,54.83,0.16,22.09,92.14,75.62,-5.57
ORD-000122,2024-11-22,CUST-02607,Corporate,South,Home & Kitchen,Coffee Maker,1,22.08,0.163,11.55,18.49,14.42,-7.48
ORD-000123,2025-03-14,CUST-02507,Small Business,Northeast,Sports,Fitness Tracker,1,108.9,0.032,18.84,105.45,79.46,7.15
ORD-000124,2024-08-29,CUST-01883,Consumer,Northeast,Office Supplies,Printer Paper,1,29.56,0.133,16.95,25.63,23.52,-14.84
ORD-000125,2024-03-16,CUST-02310,Small Business,South,Office Supplies,Desk Organizer,2,32.65,0.061,10.62,61.28,50.63,0.03
ORD-000126,2024-05-13,CUST-01780,Consumer,South,Beauty,Hair Dryer,1,40.97,0.083,10.46,37.57,25.92,1.19
ORD-000127,2024-03-31,CUST-01935,Corporate,West,Electronics,Smart Watch,1,126.87,0.22,15.89,98.98,91.84,-8.75
ORD-000128,2025-04-27,CUST-00672,Consumer,South,Electronics,Smart Watch,2,260.32,0.078,3.25,480.15,355.22,121.68
ORD-000129,2024-06-23,CUST-00053,Corporate,Northeast,Sports,Yoga Mat,2,167.3,0.188,5.0,271.62,245.04,21.58
ORD-000130,2024-07-23,CUST-01789,Small Business,Midwest,Office Supplies,Printer Paper,2,16.97,0.206,17.3,26.94,20.69,-11.05
ORD-000131,2024-02-08,CUST-00346,Corporate,South,Electronics,Wireless Headphones,5,149.55,0.081,20.04,686.84,583.89,82.91
ORD-000132,2024-08-31,CUST-00542,Consumer,West,Home & Kitchen,Storage Set,1,124.69,0.118,4.45,110.03,96.64,8.94
ORD-000133,2025-05-14,CUST-01558,Consumer,Northeast,Sports,Yoga Mat,2,151.98,0.072,13.27,281.98,220.95,47.76
ORD-000134,2024-08-12,CUST-01024,Consumer,West,Office Supplies,Notebook,1,10.6,0.102,19.09,9.52,6.39,-15.96
ORD-000135,2024-12-22,CUST-01182,Consumer,Midwest,Office Supplies,Desk Organizer,1,10.04,0.14,11.87,8.63,8.0,-11.24
ORD-000136,2024-04-09,CUST-01754,Corporate,Northeast,Electronics,Smart Watch,3,241.4,0.096,5.69,654.83,540.43,108.71
ORD-000137,2024-03-19,CUST-02542,Consumer,South,Sports,Sports Bag,1,186.52,0.124,17.2,163.31,121.77,24.34
ORD-000138,2025-02-04,CUST-00137,Small Business,South,Sports,Resistance Bands,2,60.5,0.059,23.57,113.83,88.62,1.64
ORD-000139,2024-02-05,CUST-00831,Corporate,Midwest,Office Supplies,Printer Paper,1,69.89,0.047,22.8,66.6,48.34,-4.54
ORD-000140,2024-09-02,CUST-00935,Corporate,South,Home & Kitchen,Coffee Maker,1,179.84,0.079,22.11,165.64,132.32,11.21
ORD-000141,2024-06-22,CUST-00739,Consumer,Midwest,Beauty,Body Lotion,3,76.33,0.11,24.17,203.89,164.48,15.24
ORD-000142,2024-01-09,CUST-00266,Consumer,Midwest,Sports,Fitness Tracker,2,211.92,0.179,20.8,348.18,267.72,59.66
ORD-000143,2024-10-17,CUST-00803,Small Business,South,Beauty,Skincare Set,2,53.21,0.09,8.73,96.84,73.49,14.62
ORD-000144,2025-06-11,CUST-00492,Corporate,Midwest,Sports,Resistance Bands,1,117.85,0.126,21.56,103.03,83.61,-2.14
ORD-000145,2024-02-07,CUST-02636,Consumer,West,Office Supplies,Notebook,1,50.71,0.045,20.23,48.45,35.14,-6.92
ORD-000146,2025-03-22,CUST-01057,Small Business,South,Home & Kitchen,Air Fryer,2,26.66,0.153,18.76,45.18,37.86,-11.44
ORD-000147,2024-10-21,CUST-01034,Small Business,South,Office Supplies,Printer Paper,1,54.98,0.078,22.0,50.71,32.46,-3.75
ORD-000148,2025-01-30,CUST-02079,Consumer,Northeast,Beauty,Body Lotion,1,113.03,0.088,3.15,103.12,89.7,10.27
ORD-000149,2024-02-22,CUST-01791,Corporate,Northeast,Home & Kitchen,Storage Set,3,109.08,0.105,14.35,292.97,220.34,58.28
ORD-000150,2025-04-20,CUST-00803,Small Business,South,Electronics,Smart Watch,1,125.9,0.068,20.35,117.28,93.08,3.85
ORD-000151,2024-01-07,CUST-00895,Corporate,South,Beauty,Skincare Set,1,24.32,0.034,9.78,23.49,17.52,-3.81
ORD-000152,2025-05-11,CUST-00061,Corporate,West,Home & Kitchen,Air Fryer,4,50.93,0.128,6.91,177.56,162.79,7.86
ORD-000153,2024-12-25,CUST-00659,Corporate,Northeast,Beauty,Face Serum,3,32.15,0.156,6.06,81.46,75.61,-0.21
ORD-000154,2024-07-03,CUST-01198,Corporate,Midwest,Electronics,Laptop Stand,1,391.97,0.021,16.04,383.74,299.84,67.86
ORD-000155,2024-01-04,CUST-01280,Corporate,Northeast,Home & Kitchen,Storage Set,3,37.6,0.116,14.3,99.72,80.74,4.68
ORD-000156,2024-11-30,CUST-00664,Consumer,Northeast,Home & Kitchen,Desk Lamp,1,175.06,0.115,11.33,154.91,123.15,20.43
ORD-000157,2024-02-17,CUST-02601,Consumer,South,Beauty,Hair Dryer,3,95.66,0.079,22.98,264.2,190.39,50.83
ORD-000158,2024-11-29,CUST-02335,Consumer,South,Beauty,Body Lotion,1,90.57,0.079,19.12,83.4,60.02,4.26
ORD-000159,2025-02-26,CUST-01316,Corporate,Northeast,Home & Kitchen,Water Bottle,4,116.86,0.165,14.82,390.21,289.75,85.64
ORD-000160,2024-05-26,CUST-02466,Corporate,Northeast,Office Supplies,Pen Set,3,7.92,0.231,20.13,18.26,15.78,-17.65
ORD-000161,2024-05-10,CUST-00940,Consumer,Midwest,Electronics,Laptop Stand,1,333.27,0.179,11.5,273.63,255.65,6.48
ORD-000162,2024-05-01,CUST-02013,Consumer,South,Beauty,Makeup Kit,1,52.08,0.133,13.53,45.13,37.24,-5.64
ORD-000163,2024-05-02,CUST-02366,Corporate,South,Sports,Yoga Mat,1,40.34,0.172,22.19,33.41,28.03,-16.81
ORD-000164,2024-03-03,CUST-01839,Corporate,South,Beauty,Skincare Set,1,101.52,0.129,21.38,88.39,79.15,-12.14
ORD-000165,2024-05-16,CUST-00939,Small Business,South,Electronics,Wireless Headphones,1,173.38,0.06,17.35,163.02,128.29,17.38
ORD-000166,2024-12-26,CUST-02192,Consumer,Northeast,Office Supplies,Desk Organizer,1,44.16,0.123,12.49,38.74,30.1,-3.85
ORD-000167,2024-06-14,CUST-00321,Small Business,South,Home & Kitchen,Storage Set,2,40.82,0.02,19.8,79.99,50.51,9.68
ORD-000168,2025-03-03,CUST-01128,Corporate,Midwest,Electronics,Wireless Headphones,2,88.08,0.056,19.36,166.28,142.78,4.14
ORD-000169,2025-03-24,CUST-02550,Consumer,Midwest,Electronics,Laptop Stand,1,220.31,0.157,11.57,185.69,139.96,34.16
ORD-000170,2025-02-20,CUST-01954,Small Business,West,Electronics,Bluetooth Speaker,1,52.84,0.089,10.48,48.13,40.08,-2.43
ORD-000171,2024-10-22,CUST-01068,Corporate,West,Electronics,Bluetooth Speaker,1,290.0,0.051,21.05,275.26,169.66,84.55
ORD-000172,2024-06-22,CUST-01260,Small Business,Northeast,Beauty,Body Lotion,1,18.67,0.064,21.64,17.47,14.32,-18.49
ORD-000173,2025-05-23,CUST-01218,Consumer,Northeast,Home & Kitchen,Storage Set,1,101.25,0.027,6.31,98.5,75.99,16.2
ORD-000174,2024-04-22,CUST-01290,Consumer,West,Beauty,Skincare Set,1,49.66,0.12,20.81,43.71,36.41,-13.51
ORD-000175,2024-09-11,CUST-00692,Small Business,South,Sports,Fitness Tracker,1,81.35,0.075,13.56,75.27,51.67,10.04
ORD-000176,2024-09-05,CUST-02367,Consumer,South,Office Supplies,Pen Set,1,55.0,0.086,12.67,50.29,43.73,-6.11
ORD-000177,2025-02-11,CUST-00272,Consumer,Midwest,Office Supplies,Notebook,1,35.83,0.125,10.31,31.35,23.83,-2.79
ORD-000178,2024-10-26,CUST-02374,Consumer,Midwest,Beauty,Face Serum,5,31.29,0.121,11.14,137.59,100.92,25.53
ORD-000179,2025-03-13,CUST-01654,Consumer,Northeast,Electronics,Bluetooth Speaker,4,195.7,0.029,20.5,760.13,480.93,258.7
ORD-000180,2025-05-17,CUST-01202,Consumer,Northeast,Home & Kitchen,Air Fryer,1,78.71,0.031,17.19,76.28,56.09,3.0
ORD-000181,2024-08-01,CUST-02384,Consumer,Northeast,Office Supplies,Printer Paper,2,39.39,0.096,11.59,71.22,60.45,-0.82
ORD-000182,2025-04-23,CUST-02812,Small Business,Northeast,Sports,Sports Bag,2,147.55,0.139,17.77,254.06,184.31,51.98
ORD-000183,2024-04-02,CUST-01275,Consumer,Northeast,Beauty,Hair Dryer,1,43.7,0.06,13.39,41.08,30.48,-2.79
ORD-000184,2025-05-16,CUST-01625,Consumer,Midwest,Sports,Running Shoes,3,79.41,0.068,13.45,221.98,189.31,19.22
ORD-000185,2024-04-07,CUST-01328,Consumer,South,Beauty,Makeup Kit,1,97.37,0.108,23.83,86.81,73.46,-10.48
ORD-000186,2025-04-10,CUST-01462,Consumer,,Office Supplies,Desk Organizer,1,16.72,0.107,14.2,14.92,10.69,-9.97
ORD-000187,2024-08-01,CUST-01064,Corporate,Northeast,Sports,Sports Bag,3,149.13,0.097,18.83,404.01,302.76,82.42
ORD-000188,2025-06-11,CUST-01505,Corporate,West,Sports,Running Shoes,1,217.57,0.123,17.14,190.79,131.91,41.74
ORD-000189,2024-03-11,CUST-00072,Consumer,Northeast,Office Supplies,Pen Set,2,55.84,0.046,17.52,106.59,66.72,22.35
ORD-000190,2024-09-11,CUST-02339,Consumer,Northeast,Sports,Yoga Mat,3,69.73,0.191,16.5,169.26,156.87,-4.11
ORD-000191,2025-05-08,CUST-00276,Consumer,Midwest,Sports,Sports Bag,1,21.91,0.082,9.41,20.11,13.28,-2.58
ORD-000192,2024-01-26,CUST-02903,Consumer,Northeast,Office Supplies,Notebook,4,23.78,0.201,23.67,76.02,70.12,-17.77
ORD-000193,2024-05-24,CUST-01174,Corporate,Northeast,Electronics,USB-C Hub,1,36.33,0.0,8.73,36.33,28.72,-1.12
ORD-000194,2024-02-15,CUST-02071,Small Business,Northeast,Electronics,Laptop Stand,2,277.97,0.0,18.02,555.93,334.29,203.62
ORD-000195,2024-06-24,CUST-00093,Consumer,West,Beauty,Face Serum,1,60.47,0.095,15.21,54.72,38.23,1.28
ORD-000196,2024-08-01,CUST-01024,Consumer,Midwest,Electronics,USB-C Hub,2,284.46,0.16,13.21,477.86,335.95,128.7
ORD-000197,2024-12-04,CUST-02849,Corporate,Midwest,Office Supplies,Stapler,1,56.43,0.114,7.87,50.0,41.17,0.96
ORD-000198,2024-05-20,CUST-01551,Consumer,West,Office Supplies,Stapler,2,20.05,0.094,18.72,36.36,25.84,-8.2
ORD-000199,2024-03-27,CUST-01355,Small Business,Midwest,Sports,Fitness Tracker,2,91.31,0.117,4.52,161.23,131.54,25.17
ORD-000200,2024-04-02,CUST-00922,Small Business,Northeast,Sports,Sports Bag,1,109.54,0.099,21.96,98.72,83.47,-6.71
